"file","column","total","missing"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=0\test.csv","age_at_initial_pathologic_diagnosis","77","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=0\test.csv","sex","77","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=0\train.csv","age_at_initial_pathologic_diagnosis","346","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=0\train.csv","sex","346","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=1\test.csv","age_at_initial_pathologic_diagnosis","72","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=1\test.csv","sex","72","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=1\train.csv","age_at_initial_pathologic_diagnosis","351","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=1\train.csv","sex","351","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=2\test.csv","age_at_initial_pathologic_diagnosis","119","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=2\test.csv","sex","119","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=2\train.csv","age_at_initial_pathologic_diagnosis","304","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=2\train.csv","sex","304","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=3\test.csv","age_at_initial_pathologic_diagnosis","81","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=3\test.csv","sex","81","0"
"C:\Users\Hailan\Desktop\?????\EVREG_Survival\data\splits\survival\TCGA_BLCA_overall_survival_k=3\train.csv","age_at_initial_pathologic_diagnosis","342","0"
